下料批次,零件,面料,零件外轮廓线坐标
L0004,s000001,M0004,"[[7.50000, 1527.48000], [715.00000, 1527.48000], [715.00000, 1592.48000], [7.50000, 1592.48000], [7.50000, 1527.48000]]"
L0004,s000002,M0004,"[[2863.96000, 852.38000], [2864.76000, 847.78000], [2865.66000, 842.17000], [2866.57000, 836.38000], [2867.57000, 830.38000], [2869.46000, 818.08000], [2871.57000, 805.38000], [2873.57000, 792.57000], [2875.66000, 779.88000], [2877.66000, 767.28000], [2879.07000, 758.18000], [2880.46000, 749.28000], [2883.07000, 731.57000], [2884.46000, 721.28000], [2885.57000, 710.97000], [2886.07000, 703.57000], [2886.46000, 696.28000], [2887.07000, 689.47000], [2887.86000, 682.78000], [2889.66000, 669.28000], [2890.96000, 657.97000], [2892.16000, 646.57000], [2894.26000, 623.78000], [2896.46000, 597.38000], [2897.57000, 584.38000], [2898.66000, 571.68000], [2903.36000, 571.28000], [2907.66000, 570.97000], [2911.57000, 570.68000], [2915.26000, 570.47000], [2918.66000, 570.18000], [2921.96000, 569.97000], [2928.36000, 569.57000], [2936.46000, 568.97000], [2944.86000, 568.38000], [2953.66000, 567.88000], [2962.66000, 567.28000], [2971.76000, 566.78000], [2981.07000, 566.18000], [2990.26000, 565.78000], [2999.46000, 565.38000], [3009.76000, 564.88000], [3020.07000, 564.57000], [3040.36000, 563.68000], [3048.07000, 563.18000], [3055.76000, 562.57000], [3067.06000, 561.38000], [3073.36000, 560.68000], [3074.56000, 560.47000], [3079.56000, 559.68000], [3083.36000, 558.88000], [3087.06000, 557.88000], [3094.46000, 555.78000], [3099.66000, 554.18000], [3102.16000, 553.18000], [3104.66000, 551.97000], [3106.66000, 550.88000], [3108.66000, 549.47000], [3112.46000, 546.57000], [3116.76000, 542.68000], [3120.66000, 538.38000], [3123.26000, 534.88000], [3125.76000, 531.28000], [3128.76000, 526.28000], [3131.46000, 521.07000], [3134.16000, 514.57000], [3136.46000, 508.28000], [3147.86000, 511.18000], [3159.06000, 514.07000], [3181.06000, 519.57000], [3202.76000, 524.97000], [3224.36000, 530.28000], [3249.96000, 536.07000], [3275.86000, 541.68000], [3301.96000, 546.88000], [3328.06000, 551.68000], [3343.86000, 554.38000], [3359.66000, 556.88000], [3391.26000, 561.47000], [3416.76000, 565.06000], [3442.46000, 568.38000], [3468.06000, 571.38000], [3493.76000, 573.88000], [3518.66000, 575.88000], [3543.66000, 577.57000], [3579.96000, 579.47000], [3615.46000, 581.18000], [3642.96000, 582.07000], [3670.46000, 582.88000], [3697.96000, 583.38000], [3725.46000, 583.78000], [3788.26000, 584.47000], [3850.86000, 585.18000], [3898.36000, 585.67000], [3922.16000, 585.87000], [3946.36000, 586.06000], [3969.36000, 586.17000], [3992.36000, 586.27000], [4003.66000, 586.37000], [4054.26000, 586.37000], [4060.36000, 586.27000], [4087.66000, 586.27000], [4087.66000, 820.66000], [4083.86000, 820.66000], [4080.26000, 820.57000], [4073.36000, 820.57000], [4066.96000, 820.46000], [4049.46000, 820.46000], [4038.46000, 820.37000], [4010.96000, 820.38000], [3996.56000, 820.47000], [3981.86000, 820.47000], [3966.86000, 820.58000], [3951.86000, 820.67000], [3921.66000, 820.78000], [3902.26000, 820.88000], [3883.16000, 820.97000], [3864.16000, 820.97000], [3845.36000, 821.08000], [3807.89000, 821.28000], [3770.46000, 821.67000], [3731.16000, 822.17000], [3691.66000, 823.08000], [3652.16000, 824.28000], [3612.66000, 825.97000], [3569.26000, 828.38000], [3527.66000, 830.88000], [3493.26000, 833.17000], [3458.06000, 835.78000], [3440.46000, 837.28000], [3422.86000, 838.88000], [3400.76000, 841.08000], [3378.66000, 843.58000], [3351.36000, 846.67000], [3324.16000, 850.28000], [3301.66000, 853.67000], [3279.26000, 857.38000], [3256.26000, 861.47000], [3233.26000, 865.78000], [3210.06000, 870.28000], [3186.86000, 874.88000], [3156.76000, 881.08000], [3145.36000, 883.38000], [3133.96000, 885.47000], [3122.46000, 887.28000], [3110.96000, 888.78000], [3095.36000, 890.38000], [3079.86000, 891.88000], [3064.56000, 893.38000], [3056.96000, 893.97000], [3049.57000, 894.66000], [3049.66000, 893.58000], [3049.76000, 892.78000], [2862.16000, 863.38000], [2862.96000, 858.47000], [2863.86000, 853.28000], [2863.96000, 852.38000]]"
L0004,s000003,M0004,"[[3739.38000, 412.82000], [3439.38000, 412.82000], [3439.38000, 372.83000], [3739.38000, 372.82000], [3739.38000, 412.82000]]"
L0004,s000004,M0004,"[[13133.86000, 148.02000], [13135.05000, 151.62000], [13135.86000, 153.31000], [13136.76000, 155.02000], [13137.86000, 156.42000], [13139.05000, 157.81000], [13141.76000, 160.31000], [13144.45000, 162.31000], [13147.45000, 163.81000], [13150.66000, 165.12000], [13153.95000, 166.12000], [13161.66000, 168.22000], [13169.36000, 170.12000], [13176.95000, 171.92000], [13180.66000, 172.72000], [13184.16000, 173.60000], [13187.66000, 174.42000], [13191.26000, 175.22000], [13195.16000, 176.22000], [13197.26000, 176.72000], [13199.55000, 177.22000], [13195.86000, 185.02000], [13191.95000, 193.10000], [13188.05000, 201.52000], [13187.05000, 203.52000], [13184.16000, 209.81000], [13178.55000, 222.31000], [13173.05000, 234.72000], [13166.95000, 249.10000], [13160.66000, 263.42000], [13149.36000, 288.92000], [13142.86000, 302.92000], [13136.26000, 317.02000], [13132.55000, 324.42000], [13130.66000, 328.42000], [13127.76000, 334.02000], [13124.95000, 339.42000], [13120.86000, 346.82000], [13118.66000, 350.60000], [13116.26000, 354.72000], [13114.45000, 353.60000], [13112.86000, 352.72000], [13111.55000, 352.02000], [13110.45000, 351.42000], [13109.55000, 350.82000], [13108.66000, 350.32000], [13107.16000, 349.52000], [13104.05000, 347.72000], [13100.45000, 345.72000], [13096.45000, 343.52000], [13092.16000, 341.10000], [13087.66000, 338.72000], [13082.95000, 336.22000], [13078.36000, 333.81000], [13073.66000, 331.52000], [13067.36000, 328.52000], [13061.16000, 325.72000], [13049.05000, 320.52000], [13033.55000, 314.02000], [13025.66000, 310.81000], [13017.66000, 307.92000], [13006.16000, 304.10000], [12994.55000, 300.81000], [12993.95000, 300.60000], [12984.26000, 298.22000], [12973.95000, 295.81000], [12964.16000, 293.81000], [12959.26000, 292.92000], [12954.36000, 292.22000], [12946.76000, 291.52000], [12939.16000, 291.31000], [12930.45000, 291.42000], [12921.86000, 292.02000], [12915.26000, 292.92000], [12908.66000, 294.31000], [12905.86000, 295.02000], [12903.05000, 295.92000], [12900.36000, 297.02000], [12897.55000, 298.10000], [12894.95000, 299.22000], [12892.55000, 300.60000], [12891.16000, 301.72000], [12889.76000, 302.92000], [12887.16000, 305.42000], [12884.76000, 308.02000], [12882.76000, 310.60000], [12881.05000, 313.42000], [12879.26000, 316.92000], [12877.76000, 320.60000], [12876.26000, 324.92000], [12874.95000, 329.31000], [12869.45000, 328.02000], [12864.36000, 326.92000], [12859.45000, 325.81000], [12854.55000, 324.92000], [12847.05000, 323.52000], [12839.36000, 322.22000], [12823.76000, 320.02000], [12808.76000, 318.10000], [12793.95000, 316.42000], [12779.26000, 315.10000], [12764.55000, 314.10000], [12751.86000, 313.52000], [12745.45000, 313.42000], [12739.16000, 313.42000], [12728.55000, 313.72000], [12717.86000, 314.42000], [12703.55000, 315.52000], [12693.36000, 316.52000], [12683.05000, 317.60000], [12663.95000, 319.72000], [12654.55000, 320.81000], [12645.16000, 321.92000], [12637.66000, 322.72000], [12630.16000, 323.60000], [12622.45000, 324.52000], [12614.45000, 325.42000], [12603.55000, 323.10000], [12594.26000, 323.72000], [12584.45000, 324.42000], [12574.26000, 325.02000], [12563.86000, 325.60000], [12553.16000, 326.22000], [12542.45000, 326.81000], [12531.66000, 327.31000], [12520.95000, 327.81000], [12508.55000, 328.22000], [12496.36000, 328.60000], [12472.05000, 329.22000], [12448.55000, 329.81000], [12425.05000, 330.22000], [12393.05000, 330.22000], [12376.95000, 330.10000], [12373.45000, 330.10000], [12360.66000, 330.22000], [12348.45000, 330.31000], [12342.45000, 330.42000], [12336.55000, 330.52000], [12331.26000, 330.60000], [12326.05000, 330.72000], [12320.86000, 330.92000], [12315.55000, 331.02000], [12310.05000, 331.22000], [12304.26000, 331.42000], [12297.95000, 331.72000], [12294.66000, 331.81000], [12291.16000, 331.92000], [12275.86000, 122.42000], [12303.95000, 121.72000], [12304.05000, 120.42000], [12304.16000, 119.12000], [12304.36000, 116.92000], [12305.26000, 112.42000], [12306.36000, 107.72000], [12308.05000, 101.52000], [12309.05000, 98.52000], [12310.16000, 95.52000], [12312.16000, 91.12000], [12314.45000, 86.81000], [12317.16000, 82.62000], [12318.66000, 80.72000], [12320.26000, 78.81000], [12323.16000, 76.31000], [12326.26000, 74.02000], [12331.16000, 70.52000], [12336.05000, 67.31000], [12339.86000, 65.12000], [12343.66000, 63.22000], [12347.55000, 61.52000], [12351.55000, 59.81000], [12362.05000, 55.92000], [12372.66000, 52.31000], [12385.55000, 48.31000], [12398.45000, 44.62000], [12417.05000, 39.72000], [12426.36000, 37.42000], [12435.76000, 35.31000], [12446.66000, 33.12000], [12457.55000, 31.02000], [12479.55000, 27.31000], [12499.16000, 24.22000], [12508.95000, 22.92000], [12518.76000, 21.72000], [12527.95000, 20.81000], [12537.16000, 20.12000], [12555.66000, 19.02000], [12598.76000, 16.72000], [12630.36000, 15.31000], [12646.26000, 14.72000], [12662.05000, 14.22000], [12678.16000, 13.92000], [12694.26000, 13.81000], [12726.36000, 13.72000], [12726.66000, 9.22000], [12737.16000, 8.81000], [12747.26000, 8.42000], [12757.26000, 8.12000], [12767.16000, 7.92000], [12779.26000, 7.92000], [12791.45000, 8.02000], [12803.76000, 8.31000], [12816.05000, 8.92000], [12831.26000, 9.81000], [12846.36000, 10.92000], [12861.36000, 12.31000], [12876.36000, 13.92000], [12897.95000, 16.42000], [12919.66000, 19.31000], [12941.45000, 22.42000], [12963.55000, 25.81000], [12984.66000, 29.02000], [13005.95000, 32.42000], [13027.26000, 35.92000], [13048.36000, 39.42000], [13058.76000, 41.12000], [13068.95000, 42.81000], [13079.05000, 44.52000], [13088.95000, 46.12000], [13098.66000, 47.81000], [13108.05000, 49.31000], [13117.16000, 50.92000], [13126.05000, 52.42000], [13126.86000, 98.72000], [13127.36000, 103.12000], [13127.95000, 107.81000], [13128.55000, 112.81000], [13129.26000, 118.12000], [13129.95000, 123.62000], [13130.76000, 129.12000], [13132.36000, 140.12000], [13132.95000, 144.12000], [13133.86000, 148.02000]]"
L0004,s000005,M0004,"[[6966.42000, 7.50000], [7166.42000, 7.50000], [7166.42000, 47.50000], [6966.42000, 47.50000], [6966.42000, 7.50000]]"
L0004,s000006,M0004,"[[9567.25000, 679.03000], [9567.25000, 639.03000], [9867.25000, 639.03000], [9867.25000, 679.03000], [9567.25000, 679.03000]]"
L0004,s000007,M0004,"[[2064.53000, 244.50000], [2064.53000, 246.50000], [2064.63000, 248.30000], [2064.63000, 249.80000], [2064.73000, 251.30000], [2064.83000, 253.71000], [2064.92000, 256.11000], [2065.03000, 260.40000], [2065.23000, 265.11000], [2065.53000, 270.09000], [2065.73000, 275.21000], [2065.92000, 280.41000], [2066.23000, 285.41000], [2066.42000, 290.21000], [2066.63000, 294.50000], [1831.53000, 294.71000], [1830.42000, 293.71000], [1829.42000, 292.80000], [1827.53000, 291.21000], [1825.63000, 289.50000], [1823.63000, 287.91000], [1821.63000, 286.21000], [1819.73000, 284.71000], [1823.73000, 281.41000], [1827.53000, 278.30000], [1832.42000, 274.00000], [1834.83000, 271.71000], [1836.92000, 269.30000], [1838.53000, 267.30000], [1840.03000, 265.21000], [1842.73000, 260.71000], [1846.23000, 254.71000], [1847.92000, 251.71000], [1849.63000, 248.90000], [1851.03000, 248.50000], [1852.63000, 248.11000], [1856.03000, 247.30000], [1859.63000, 246.40000], [1863.23000, 245.50000], [1866.63000, 244.71000], [1868.23000, 244.30000], [1869.63000, 243.90000], [1870.92000, 243.61000], [1871.92000, 243.30000], [1872.83000, 243.11000], [1873.63000, 242.90000], [1874.92000, 242.61000], [1875.03000, 244.61000], [2064.53000, 244.50000]]"
L0004,s000008,M0004,"[[11539.30000, 505.30000], [11541.10000, 514.89000], [11543.20000, 526.10000], [11545.41000, 537.10000], [11547.00000, 544.80000], [11548.70000, 552.50000], [11550.50000, 560.10000], [11552.50000, 567.99000], [11554.00000, 573.80000], [11555.60000, 579.49000], [11556.91000, 584.80000], [11557.50000, 587.39000], [11558.00000, 589.70000], [11558.30000, 591.30000], [11558.91000, 594.89000], [11559.10000, 595.99000], [11559.30000, 597.30000], [11559.41000, 598.80000], [11559.50000, 599.99000], [11559.60000, 601.10000], [11559.60000, 601.99000], [11559.70000, 603.49000], [11559.80000, 604.89000], [11560.20000, 608.10000], [11560.70000, 611.60000], [11561.30000, 615.49000], [11562.10000, 619.70000], [11563.00000, 624.10000], [11563.91000, 628.60000], [11566.20000, 637.99000], [11569.10000, 648.99000], [11570.70000, 654.30000], [11572.20000, 659.39000], [11573.50000, 664.20000], [11574.80000, 668.70000], [11575.80000, 672.70000], [11576.60000, 676.20000], [11576.91000, 677.49000], [11577.30000, 679.89000], [11577.41000, 680.99000], [11577.60000, 682.30000], [11577.91000, 683.80000], [11578.00000, 685.89000], [11578.10000, 687.39000], [11578.20000, 688.70000], [11578.30000, 689.60000], [11578.30000, 690.70000], [11578.41000, 691.30000], [11578.60000, 692.99000], [11578.91000, 694.99000], [11579.41000, 697.30000], [11579.91000, 699.99000], [11580.41000, 702.99000], [11581.10000, 706.30000], [11581.80000, 709.89000], [11582.60000, 713.70000], [11583.50000, 717.70000], [11584.41000, 721.99000], [11585.41000, 726.39000], [11586.41000, 730.99000], [11588.60000, 740.70000], [11590.91000, 750.70000], [11593.30000, 760.99000], [11595.70000, 771.39000], [11598.20000, 781.70000], [11600.60000, 791.70000], [11601.70000, 796.49000], [11602.91000, 801.20000], [11604.00000, 805.80000], [11605.00000, 810.20000], [11606.10000, 814.39000], [11607.00000, 818.39000], [11607.91000, 822.20000], [11608.80000, 825.70000], [11609.50000, 828.49000], [11610.20000, 831.30000], [11610.91000, 834.20000], [11611.70000, 837.30000], [11612.60000, 840.80000], [11613.10000, 842.70000], [11613.60000, 844.80000], [11614.20000, 847.10000], [11614.80000, 849.49000], [11615.50000, 852.10000], [11616.20000, 854.99000], [11611.10000, 855.60000], [11606.20000, 856.10000], [11601.70000, 856.70000], [11597.41000, 857.20000], [11593.30000, 857.60000], [11589.50000, 858.10000], [11585.91000, 858.49000], [11582.41000, 858.89000], [11575.91000, 859.70000], [11569.80000, 860.39000], [11563.91000, 861.10000], [11558.00000, 861.80000], [11548.50000, 862.89000], [11538.60000, 864.10000], [11528.20000, 865.30000], [11517.60000, 866.60000], [11506.60000, 867.89000], [11495.30000, 869.30000], [11483.80000, 870.60000], [11472.20000, 871.99000], [11448.50000, 874.80000], [11424.60000, 877.49000], [11400.80000, 880.10000], [11389.00000, 881.39000], [11377.41000, 882.60000], [11367.41000, 883.60000], [11357.50000, 884.70000], [11347.70000, 885.99000], [11337.91000, 887.70000], [11336.60000, 887.89000], [11334.91000, 888.20000], [11332.91000, 888.60000], [11330.60000, 889.10000], [11328.10000, 889.60000], [11325.50000, 890.20000], [11320.41000, 891.30000], [11315.70000, 892.49000], [11311.41000, 893.60000], [11307.20000, 894.89000], [11303.20000, 896.30000], [11299.41000, 897.80000], [11295.50000, 899.60000], [11291.70000, 901.49000], [11287.91000, 903.49000], [11284.00000, 905.99000], [11280.20000, 908.70000], [11275.60000, 912.20000], [11271.30000, 916.10000], [11267.00000, 920.70000], [11265.10000, 923.10000], [11263.30000, 925.70000], [11261.50000, 928.60000], [11259.91000, 931.60000], [11258.50000, 934.60000], [11257.30000, 937.80000], [11256.41000, 940.70000], [11255.70000, 943.70000], [11254.60000, 949.80000], [11253.91000, 955.99000], [11253.41000, 962.20000], [11252.60000, 976.99000], [11252.30000, 984.20000], [11252.20000, 991.30000], [11252.20000, 997.20000], [11252.30000, 1003.10000], [11252.41000, 1009.30000], [11252.41000, 1020.20000], [11252.30000, 1024.60000], [11252.20000, 1028.89000], [11252.10000, 1033.10000], [11251.91000, 1036.99000], [11251.80000, 1040.39000], [11251.70000, 1041.99000], [11251.70000, 1043.30000], [11251.60000, 1044.49000], [11251.60000, 1045.60000], [11243.10000, 1054.39000], [11236.30000, 1049.80000], [11229.70000, 1045.30000], [11216.60000, 1036.60000], [11200.80000, 1026.30000], [11184.91000, 1015.99000], [11168.50000, 1005.49000], [11151.91000, 995.39000], [11138.60000, 987.70000], [11125.00000, 980.39000], [11112.20000, 973.89000], [11099.30000, 967.80000], [11088.60000, 963.10000], [11077.70000, 958.80000], [11066.20000, 954.80000], [11054.50000, 951.20000], [11030.50000, 944.20000], [11015.30000, 939.99000], [11000.00000, 936.30000], [10985.30000, 933.20000], [10970.50000, 930.39000], [10956.00000, 927.60000], [10941.50000, 924.99000], [10926.80000, 922.80000], [10912.10000, 920.99000], [10895.41000, 919.30000], [10878.70000, 917.89000], [10862.00000, 916.70000], [10845.20000, 915.70000], [10776.30000, 911.39000], [10755.91000, 910.30000], [10735.50000, 909.30000], [10714.00000, 908.49000], [10692.60000, 907.99000], [10649.60000, 907.20000], [10602.20000, 906.10000], [10554.91000, 904.99000], [10510.41000, 904.20000], [10488.10000, 903.89000], [10465.60000, 903.60000], [10441.50000, 903.30000], [10417.50000, 902.99000], [10405.60000, 902.89000], [10393.80000, 902.70000], [10382.20000, 902.60000], [10370.80000, 902.39000], [10358.50000, 902.30000], [10346.00000, 902.10000], [10339.60000, 901.99000], [10332.91000, 901.99000], [10326.00000, 901.89000], [10318.80000, 901.80000], [10318.80000, 744.10000], [10318.70000, 729.70000], [10318.70000, 640.99000], [10331.80000, 640.80000], [10344.50000, 640.60000], [10357.10000, 640.49000], [10369.70000, 640.39000], [10387.00000, 640.30000], [10404.50000, 640.30000], [10422.00000, 640.20000], [10439.50000, 639.99000], [10467.30000, 639.30000], [10494.91000, 638.49000], [10519.70000, 637.99000], [10544.50000, 637.60000], [10574.20000, 636.99000], [10603.91000, 636.20000], [10646.10000, 634.89000], [10688.41000, 633.70000], [10716.30000, 632.99000], [10730.20000, 632.49000], [10744.10000, 631.89000], [10758.80000, 631.10000], [10773.60000, 630.20000], [10803.00000, 628.30000], [10829.41000, 626.70000], [10855.70000, 625.10000], [10870.10000, 624.20000], [10884.41000, 623.20000], [10898.70000, 621.99000], [10913.00000, 620.49000], [10927.41000, 618.70000], [10941.80000, 616.80000], [10956.50000, 614.60000], [10971.20000, 612.30000], [10989.20000, 609.10000], [11007.10000, 605.70000], [11049.50000, 597.30000], [11069.60000, 593.20000], [11079.70000, 590.99000], [11089.70000, 588.70000], [11099.50000, 586.20000], [11109.30000, 583.70000], [11128.70000, 578.20000], [11147.91000, 572.70000], [11167.10000, 567.10000], [11182.30000, 562.39000], [11197.41000, 557.49000], [11213.30000, 552.00000], [11229.20000, 546.50000], [11245.50000, 540.80000], [11253.80000, 538.00000], [11262.00000, 535.39000], [11272.41000, 532.50000], [11282.70000, 529.70000], [11297.10000, 525.89000], [11311.60000, 522.30000], [11326.91000, 518.80000], [11342.30000, 515.70000], [11353.10000, 513.70000], [11363.91000, 512.00000], [11385.70000, 508.70000], [11399.91000, 506.70000], [11414.00000, 504.80000], [11428.30000, 503.00000], [11442.60000, 501.39000], [11455.60000, 500.20000], [11468.60000, 499.20000], [11481.50000, 498.20000], [11494.30000, 497.20000], [11504.80000, 496.30000], [11515.30000, 495.50000], [11526.10000, 494.50000], [11537.20000, 493.60000], [11538.10000, 498.70000], [11539.10000, 504.00000], [11539.30000, 505.30000]]"
L0004,s000009,M0004,"[[9379.25000, 474.06000], [9379.25000, 564.06000], [9184.25000, 564.06000], [9184.25000, 474.06000], [9379.25000, 474.06000]]"
L0004,s000010,M0004,"[[581.01000, 1114.66000], [561.01000, 1114.66000], [551.12000, 1088.16000], [551.12000, 1068.16000], [551.91000, 1067.26000], [552.71000, 1066.26000], [554.41000, 1064.06000], [556.31000, 1061.66000], [558.21000, 1059.37000], [559.91000, 1057.26000], [564.71000, 1051.26000], [566.81000, 1048.87000], [569.01000, 1046.46000], [572.12000, 1043.46000], [574.01000, 1041.76000], [576.01000, 1040.16000], [578.91000, 1038.26000], [582.21000, 1035.96000], [584.12000, 1034.96000], [585.91000, 1033.96000], [588.12000, 1032.76000], [590.31000, 1031.76000], [592.12000, 1031.06000], [593.81000, 1030.37000], [597.41000, 1029.26000], [601.12000, 1028.26000], [605.01000, 1027.26000], [609.21000, 1026.46000], [613.41000, 1025.76000], [618.01000, 1024.96000], [622.71000, 1024.37000], [626.81000, 1023.87000], [635.21000, 1023.26000], [639.41000, 1023.06000], [649.41000, 1022.76000], [665.41000, 1021.96000], [671.51000, 1021.56000], [683.62000, 1020.66000], [692.91000, 1019.96000], [697.62000, 1019.46000], [702.21000, 1018.96000], [709.31000, 1017.87000], [716.41000, 1016.56000], [723.41000, 1015.16000], [726.81000, 1014.37000], [730.12000, 1013.46000], [734.51000, 1012.06000], [738.81000, 1010.46000], [741.01000, 1009.56000], [743.31000, 1008.66000], [745.62000, 1007.56000], [748.12000, 1006.46000], [750.12000, 1005.56000], [752.21000, 1004.66000], [756.31000, 1002.66000], [760.51000, 1000.76000], [762.51000, 999.87000], [766.31000, 998.06000], [768.01000, 997.26000], [769.62000, 996.56000], [770.91000, 995.96000], [772.12000, 995.37000], [773.12000, 994.96000], [773.81000, 994.56000], [774.31000, 994.37000], [794.31000, 994.37000], [794.31000, 1014.37000], [792.81000, 1107.56000], [762.31000, 1107.56000], [753.01000, 1107.66000], [745.21000, 1107.66000], [737.21000, 1107.76000], [729.12000, 1107.76000], [720.91000, 1107.87000], [676.12000, 1107.87000], [667.81000, 1107.76000], [663.91000, 1107.76000], [659.41000, 1107.87000], [648.71000, 1108.16000], [638.12000, 1108.66000], [627.41000, 1109.26000], [618.91000, 1109.87000], [610.51000, 1110.66000], [596.31000, 1112.46000], [588.62000, 1113.56000], [584.81000, 1114.16000], [581.01000, 1114.66000]]"
